Hiragana,Katakana,
3041,30a1,ぁ,ァ
3042,30a2,あ,ア
3043,30a3,ぃ,ィ
3044,30a4,い,イ
3045,30a5,ぅ,ゥ
3046,30a6,う,ウ
3047,30a7,ぇ,ェ
3048,30a8,え,エ
3049,30a9,ぉ,ォ
304a,30aa,お,オ
304b,30ab,か,カ
304c,30ac,が,ガ
304d,30ad,き,キ
304e,30ae,ぎ,ギ
304f,30af,く,ク
3050,30b0,ぐ,グ
3051,30b1,け,ケ
3052,30b2,げ,ゲ
3053,30b3,こ,コ
3054,30b4,ご,ゴ
3055,30b5,さ,サ
3056,30b6,ざ,ザ
3057,30b7,し,シ
3058,30b8,じ,ジ
3059,30b9,す,ス
305a,30ba,ず,ズ
305b,30bb,せ,セ
305c,30bc,ぜ,ゼ
305d,30bd,そ,ソ
305e,30be,ぞ,ゾ
305f,30bf,た,タ
3060,30c0,だ,ダ
3061,30c1,ち,チ
3062,30c2,ぢ,ヂ
3063,30c3,っ,ッ
3064,30c4,つ,ツ
3065,30c5,づ,ヅ
3066,30c6,て,テ
3067,30c7,で,デ
3068,30c8,と,ト
3069,30c9,ど,ド
306a,30ca,な,ナ
306b,30cb,に,ニ
306c,30cc,ぬ,ヌ
306d,30cd,ね,ネ
306e,30ce,の,ノ
306f,30cf,は,ハ
3070,30d0,ば,バ
3071,30d1,ぱ,パ
3072,30d2,ひ,ヒ
3073,30d3,び,ビ
3074,30d4,ぴ,ピ
3075,30d5,ふ,フ
3076,30d6,ぶ,ブ
3077,30d7,ぷ,プ
3078,30d8,へ,ヘ
3079,30d9,べ,ベ
307a,30da,ぺ,ペ
307b,30db,ほ,ホ
307c,30dc,ぼ,ボ
307d,30dd,ぽ,ポ
307e,30de,ま,マ
307f,30df,み,ミ
3080,30e0,む,ム
3081,30e1,め,メ
3082,30e2,も,モ
3083,30e3,ゃ,ャ
3084,30e4,や,ヤ
3085,30e5,ゅ,ュ
3086,30e6,ゆ,ユ
3087,30e7,ょ,ョ
3088,30e8,よ,ヨ
3089,30e9,ら,ラ
308a,30ea,り,リ
308b,30eb,る,ル
308c,30ec,れ,レ
308d,30ed,ろ,ロ
308e,30ee,ゎ,ヮ
308f,30ef,わ,ワ
3090,30f0,ゐ,ヰ
3091,30f1,ゑ,ヱ
3092,30f2,を,ヲ
3093,30f3,ん,ン
3094,30f4,ゔ,ヴ
3095,30f5,ゕ,ヵ
3096,30f6,ゖ,ヶ
308f3099,30f7,わ゙,ヷ
30903099,30f8,ゐ゙,ヸ
30913099,30f9,ゑ゙,ヹ
30923099,30fa,を゙,ヺ
309d,30fd,ゝ,ヽ
309e,30fe,ゞ,ヾ
